ID,Devil,Bind_Key,Character,Blessing_name,Bless_Discript,물리공격력계수,마법공격력계수,쿨타임,스택
0,0,0,0,평타,공격이 적에게 피해를 준다,1,0,0,1
1,0,1,0,가드,가드 성공시 패링후 반격,0.5,0.5,4,1
2,0,2,0,대쉬,점프,0,0,2,1
3,0,3,0,하세기,소리에게돈,1,0,12,1
4,0,4,0,벽력일섬,내가 번개가 된다. ,0.3,1,35,1
5,1,0,0,혹한의 손길,공격이 적에게 피해를 가할 때 몬스터의 공격과 이동 속도를 늦춥니다.,1.2,0,0,1
6,1,1,0,얼음 방패,스킬 발동시 스킬이 생겨난다.,0,0.5,12,1
7,1,2,0,겨울의 보호,대쉬시 방어막이 생겨난다.,0.3,0,2.5,1
8,1,3,0,혹한의 갑옷,스킬 사용시 보호막이 생긴다. (리산궁처럼 피차는거 하고 싶음),0.2,0,10,1
9,1,4,0,혹한의 거합,스킬 사용시 피격 몬스터를 잠시 속박하고 물리피해를 입힌다.,0.7,0.5,30,1
10,2,0,0,시간 절단,공격이 적에게 피해를 가할 때 궁극기 쿨타임과 쉬프트 재사용 대기시간이 감소한다.,1.2,0,0,1
11,2,1,0,시간 가드,가드 성공시 패링후 반격 -시간,0.5,0.5,4,1
12,2,2,0,시간 대쉬,점프-시간,0,0,2,1
13,2,3,0,시간 하세기,소리에게돈-시간,1,0,12,1
14,2,4,0,시간 벽력일섬,내가 번개가 된다. -시간 ,0.3,1,35,2
15,3,0,0,홍영팔색,공격이 적에게 피해를 준다 -불 도트딜,1,0,0,1
16,3,1,0,불가드,가드 성공시 패링후 반격-불 도트딜,0.5,0.5,4,1
17,3,2,0,불 대쉬,점프 -불 도트딜,0,0,2,1
18,3,3,0,홍영,소리에게돈-불 도트딜,1,0,12,1
19,3,4,0,주광기,내가 번개가 된다. -불 도트딜,0.3,1,35,1
